Country;Score;Property Rights;Judicial Effectiveness;Government Integrity;Tax Burden;Government Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom;Financial Freedom
Samoa;66.6;76.1;77.7;60.3;79;67.3;97.8;63.5;76.2;64.6;67.2;40;30
São Tomé and Príncipe;60.4;53;60.6;47.7;88.6;81.5;93.6;52.8;45.2;57.2;65;50;30
Saudi Arabia;64.4;51;38.1;48.1;99.3;71.6;98.1;70.6;43.1;80.1;72.8;50;50
Senegal;56.4;57.2;50.3;45.2;69.4;79.7;30.5;54.3;54.3;68.8;67.2;60;40
Serbia;64.4;58.9;50.8;37.2;87.3;40.2;91.2;74.7;66.6;68.5;77.2;70;50
Seychelles;66.4;74;63.7;75;79.7;64.6;83.2;78.8;56.5;75.6;85.2;30;30
Sierra Leone;48;33.8;41.5;36;87.8;89;53.8;37;23.7;50.2;63.6;40;20
Singapore;84.1;94.3;58.3;86.4;89.9;92.9;73.9;90.6;77.1;81;95;90;80
Slovakia;68.4;84.3;69.9;57.2;76.7;38.7;69.8;77;58;64.5;79.6;75;70
Slovenia;68.3;88.4;91.8;64.4;56.6;30.9;72.2;78.5;64.5;72.9;79.6;70;50
Solomon Islands;56.3;48.2;61.9;42;70.6;70.2;95.3;50.1;60.5;76.2;55.4;15;30
South Africa;57.3;44.3;57.7;45.1;67.9;68.6;45.8;64;71;74.5;68.4;40;40
Spain;66.3;87.2;74;64.7;57.7;33.5;40.8;83.6;63.1;76.5;84.6;70;60
Sri Lanka;49.4;51.3;47.4;37.4;77.5;88.8;0;55.8;54.6;54.5;65;30;30
Sudan;35.3;12;4;15.6;84.7;95.7;73.5;28.5;39.2;16.3;29.6;5;20
Suriname;50.9;42.1;43.1;39.7;69.1;74;66.1;57.6;69;44.1;65.4;20;20
Sweden;77.9;96.5;95.6;92.3;51.6;31.5;97.3;84.6;66.1;74.3;79.6;85;80
Switzerland;83.7;94.5;99.3;92.3;70.9;68;97.6;88.8;60.5;80.7;86.6;85;80
Taiwan;79.7;83;94.4;73.3;79;90.1;91.3;79.6;69;79.9;86.6;70;60
Tajikistan;51.5;28.8;11.2;15.7;92.3;75;97.3;56.2;43.6;71;72.2;25;30
Tanzania;59.3;46.7;30.4;39.8;80.4;89.4;74.3;48.9;62.1;72.5;61.8;55;50
Thailand;60.6;45.1;34.6;38.4;81.3;81.7;61.3;70.9;56.4;70.2;72.4;55;60
Timor-Leste;47.9;41.5;36.2;44.1;97.3;0;19.8;65.6;57.2;67.5;80;45;20
